time_s,phase,A7_x,A7_y,A7_z,min_obstacle_h,min_joint_limit_h,min_all_h,active_obstacle_cbfs,joint_tracking_error,qp_max_violation,qp_iterations,qp_time_us,A1_joint,A2_joint,A3_joint,A4_joint,A5_joint,A6_joint,A7_joint
0.23,2/3 raise_arm_pose,0.41923390687227396,-0.3441588999250108,0.6144313245137181,0.09813268322490631,-0.015764151293554515,-0.015121078503233661,0,0.0015987275473527812,0.27982534309650714,0,14.3,-0.03152830258710903,1.5,0.03783396310453083,-0.015764151293554515,0.0,0.0,0.0
0.23500000000000001,2/3 raise_arm_pose,0.4200144410430958,-0.3443386850787839,0.614473227750459,0.0976152842664108,-0.016419135380122494,-0.015764151293554515,0,0.0016729351276328125,0.2886383302491411,0,14.6,-0.03283827076024499,1.5,0.03940592491229398,-0.016419135380122494,0.0,0.0,0.0
0.24,2/3 raise_arm_pose,0.4208110661720167,-0.3445220153836419,0.6145171790043078,0.0970873954089157,-0.01708720032124916,-0.016419135380122494,0,0.0016121207986913863,0.2978043420265578,0,14.2,-0.03417440064249832,1.5,0.041009280770997976,-0.01708720032124916,0.0,0.0,0.0
0.245,2/3 raise_arm_pose,0.42162326343518736,-0.344708761010811,0.6145632208951981,0.09654937051957879,-0.017767888287024955,-0.01708720032124916,0,0.0015927130692711226,0.3070095963676506,0,14.7,-0.03553577657404991,1.5,0.042642931888859884,-0.017767888287024955,0.0,0.0,0.0
0.25,2/3 raise_arm_pose,0.4224505320350209,-0.3448987964327269,0.6146113953335883,0.09600155120930909,-0.01846075747158716,-0.017767888287024955,0,0.0016132627083888047,0.3162527197826907,0,14.9,-0.03692151494317432,1.5,0.044305817931809176,-0.01846075747158716,0.0,0.0,0.0
0.255,2/3 raise_arm_pose,0.42329238853119844,-0.34509200027175435,0.6146617434748433,0.0954442672764147,-0.01916538153227825,-0.01846075747158716,0,0.0016723712081456053,0.3255323868540901,0,15.1,-0.0383307630645565,1.5,0.045996915677467796,-0.01916538153227825,0.0,0.0,0.0
0.26,2/3 raise_arm_pose,0.4241483661984317,-0.34528825515443473,0.6147143056810882,0.09487783713358444,-0.01988134904843372,-0.01916538153227825,0,0.001768689008419155,0.33484731855387617,0,14.6,-0.03976269809686744,1.5,0.04771523771624092,-0.01988134904843372,0.0,0.0,0.0
0.265,2/3 raise_arm_pose,0.4250180144097968,-0.3454874475710567,0.6147691214898282,0.09430256821887473,-0.02060826299911231,-0.01988134904843372,0,0.0019009137836913652,0.34419628062005536,0,13.9,-0.04121652599822462,1.5,0.04945983119786954,-0.02060826299911231,0.0,0.0,0.0
0.27,2/3 raise_arm_pose,0.4259027117679938,-0.345689882541957,0.614826348418877,0.09371755827912254,-0.021347254755755884,-0.02060826299911231,0,0.0019015815301173526,0.3538809813198385,0,12.9,-0.04269450951151177,1.5,0.05123341141381413,-0.021347254755755884,0.0,0.0,0.0
0.275,2/3 raise_arm_pose,0.4268028860668538,-0.34589564631987313,0.6148860904862614,0.09312253489895128,-0.022098659070677977,-0.021347254755755884,0,0.0018573522271388661,0.3637534105419773,0,13.8,-0.044197318141355954,1.5,0.05303678176962715,-0.022098659070677977,0.0,0.0,0.0
0.28,2/3 raise_arm_pose,0.4277180439484718,-0.3461046142443692,0.614948392449385,0.0925178347636667,-0.022862041504338838,-0.022098659070677977,0,0.00185241407500729,0.3736630774389517,0,13.7,-0.045724083008677675,1.5,0.05486889961041321,-0.022862041504338838,0.0,0.0,0.0
0.28500000000000003,2/3 raise_arm_pose,0.42864770901344545,-0.3463166657241088,0.615013298172549,0.09190378299355345,-0.023636982822582607,-0.022862041504338838,0,0.0018853918834429884,0.38360867869214244,0,14.7,-0.047273965645165214,1.5,0.05672875877419826,-0.023636982822582607,0.0,0.0,0.0
0.29,2/3 raise_arm_pose,0.42959142119520516,-0.3465316840945553,0.6150808505975933,0.09128069356189755,-0.024423078464448886,-0.023636982822582607,0,0.0019549585938261407,0.3935889565990818,0,14.3,-0.04884615692889777,1.5,0.05861538831467732,-0.024423078464448886,0.0,0.0,0.0
0.295,2/3 raise_arm_pose,0.4305487361591864,-0.3467495564808629,0.6151510917207121,0.09064886969739167,-0.025219938028610885,-0.024423078464448886,0,0.002059833594588526,0.4036026974768887,0,15.1,-0.05043987605722177,1.5,0.06052785126866612,-0.025219938028610885,0.0,0.0,0.0
0.3,2/3 raise_arm_pose,0.4315192247257468,-0.34697017366575633,0.615224062574823,0.09000860427155027,-0.026027184777788256,-0.025219938028610885,0,0.0021987810955668994,0.41364873012158276,0,13.4,-0.05205436955557651,1.5,0.06246524346669181,-0.026027184777788256,0.0,0.0,0.0
0.305,2/3 raise_arm_pose,0.43250506766114166,-0.3471940189124088,0.6153000055506662,0.08935846895864996,-0.02684661161764078,-0.026027184777788256,0,0.0021312302213170264,0.4241572157483875,0,13.2,-0.05369322323528156,1.5,0.06443186788233786,-0.02684661161764078,0.0,0.0,0.0
0.31,2/3 raise_arm_pose,0.4335057792245973,-0.34742096849431,0.615378967566411,0.0886987952783026,-0.02767779224499483,-0.02684661161764078,0,0.0021022346367430196,0.43470224164721766,0,13.5,-0.05535558448998966,1.5,0.06642670138798758,-0.02767779224499483,0.0,0.0,0.0
0.315,2/3 raise_arm_pose,0.43452089022132356,-0.3476509026692961,0.6154609945357379,0.0880299034507469,-0.02852031527728785,-0.02767779224499483,0,0.002110444906706222,0.44528252890855236,0,13.5,-0.0570406305545757,1.5,0.06844875666549083,-0.02852031527728785,0.0,0.0,0.0
0.32,2/3 raise_arm_pose,0.4355499473939392,-0.34788370554091785,0.6155461313461688,0.08735210280545941,-0.029373783730346978,-0.02852031527728785,0,0.002154558826297825,0.455896843384704,0,13.9,-0.058747567460693956,1.5,0.07049708095283273,-0.029373783730346978,0.0,0.0,0.0
0.325,2/3 raise_arm_pose,0.4365925128379788,-0.3481192649248488,0.615634421843017,0.08666569217455528,-0.030237814514445398,-0.029373783730346978,0,0.0022333197677808377,0.46654399412315395,0,13.7,-0.060475629028890796,1.5,0.07257075483466895,-0.030237814514445398,0.0,0.0,0.0
0.33,2/3 raise_arm_pose,0.4376481634404207,-0.348357472220141,0.6157259088183844,0.0859709602715868,-0.031112037947996735,-0.030237814514445398,0,0.0023455150853890407,0.4772228318547218,0,17.4,-0.06222407589599347,1.5,0.07466889107519216,-0.031112037947996735,0.0,0.0,0.0
0.335,2/3 raise_arm_pose,0.4387173171807219,-0.3485984084915121,0.6158207081516781,0.08526764225503036,-0.031996781257047656,-0.031112037947996735,0,0.002413504600691414,0.4880690412901516,0,14.8,-0.06399356251409531,1.5,0.07679227501691437,-0.031996781257047656,0.0,0.0,0.0
0.34,2/3 raise_arm_pose,0.43980120626993785,-0.34884233716372204,0.6159190148307327,0.08454272510911065,-0.0328930437732115,-0.031996781257047656,0,0.0023619000241297526,0.49922031580324544,0,14.8,-0.065786087546423,1.5,0.0789433050557076,-0.0328930437732115,0.0,0.0,0.0
0.34500000000000003,2/3 raise_arm_pose,0.4408993684710003,-0.3490891393168884,0.6160208762059176,0.08372787165806561,-0.03380042232423931,-0.0328930437732115,0,0.0023467587530491283,0.510406147937678,0,14.0,-0.06760084464847863,1.5,0.08112101357817435,-0.03380042232423931,0.0,0.0,0.0
0.35000000000000003,2/3 raise_arm_pose,0.44201135709073575,-0.34933869979589466,0.6161263385212922,0.08290275817433485,-0.03471852784891086,-0.03380042232423931,0,0.0023668045717577142,0.5216253281767025,0,13.0,-0.06943705569782171,1.5,0.08332446683738606,-0.03471852784891086,0.0,0.0,0.0
0.355,2/3 raise_arm_pose,0.44313674041159395,-0.3495909070803573,0.6162354469045993,0.08206770283146136,-0.035646984903148604,-0.03471852784891086,0,0.0024208059321129175,0.5328766893366581,0,13.4,-0.07129396980629721,1.5,0.08555276376755666,-0.035646984903148604,0.0,0.0,0.0
0.36,2/3 raise_arm_pose,0.4442751011456734,-0.34984565315928723,0.6163482453618432,0.0812230129589947,-0.036585431183417734,-0.035646984903148604,0,0.0025075743901570397,0.5441591050853123,0,14.2,-0.07317086236683547,1.5,0.08780503484020258,-0.036585431183417734,0.0,0.0,0.0
0.365,2/3 raise_arm_pose,0.44542603591006813,-0.3501028334102662,0.6164647767759636,0.08036898543710419,-0.03753351706680715,-0.036585431183417734,0,0.002625963097471008,0.5554714885120607,0,14.2,-0.0750670341336143,1.5,0.09008044096033718,-0.03753351706680715,0.0,0.0,0.0
0.37,2/3 raise_arm_pose,0.44659072966482855,-0.35036269761488664,0.6165852475439472,0.07950473840136607,-0.03849220103886499,-0.03753351706680715,0,0.0026284617734714023,0.5670719650796388,0,15.8,-0.07698440207772998,1.5,0.09238128249327598,-0.03849220103886499,0.0,0.0,0.0
0.375,2/3 raise_arm_pose,0.4477695421261302,-0.3506253099724182,0.6167097874726727,0.07863000216928029,-0.03946176029671671,-0.03849220103886499,0,0.0025912842653989954,0.5788338619589941,0,15.1,-0.07892352059343342,1.5,0.09470822471212012,-0.03946176029671671,0.0,0.0,0.0
0.38,2/3 raise_arm_pose,0.44896203312947924,-0.35089055610911746,0.6168384435678164,0.07774510044830035,-0.040441814205359534,-0.03946176029671671,0,0.0025885317714971433,0.5906283846957312,0,13.9,-0.08088362841071907,1.5,0.09706035409286289,-0.040441814205359534,0.0,0.0,0.0
0.385,2/3 raise_arm_pose,0.4501677771037902,-0.3511583252074175,0.6169712616649495,0.07685034598104029,-0.041431995452015764,-0.040441814205359534,0,0.0026189994162698995,0.6024543913848415,0,15.3,-0.08286399090403153,1.5,0.09943678908483784,-0.041431995452015764,0.0,0.0,0.0
0.39,2/3 raise_arm_pose,0.4513863625410499,-0.3514285098840575,0.617108286428791,0.07594604094499319,-0.04243194957985494,-0.041431995452015764,0,0.002681524494863646,0.6143107800879921,0,21.1,-0.08486389915970988,1.5,0.10183667899165186,-0.04243194957985494,0.0,0.0,0.0
0.395,2/3 raise_arm_pose,0.45261739148660224,-0.35170100607257654,0.6172495613561687,0.07503247733704876,-0.04344133453803565,-0.04243194957985494,0,0.002774984997094634,0.6261964874346915,0,15.5,-0.0868826690760713,1.5,0.10425920289128557,-0.04344133453803565,0.0,0.0,0.0
0.4,2/3 raise_arm_pose,0.45386047904916343,-0.3519757129099984,0.6173951287822643,0.07410993734345117,-0.044459820247495944,-0.04344133453803565,0,0.002898298183135575,0.6381104872724155,0,14.1,-0.08891964049499189,1.5,0.10670356859399027,-0.044459820247495944,0.0,0.0,0.0
0.405,2/3 raise_arm_pose,0.45511748516901895,-0.3522530246672496,0.6175452992186636,0.07317703698666256,-0.0454889149846954,-0.044459820247495944,0,0.0028407660297571392,0.6504171499148503,0,13.9,-0.0909778299693908,1.5,0.10917339596326896,-0.0454889149846954,0.0,0.0,0.0
0.41000000000000003,2/3 raise_arm_pose,0.4563879766591463,-0.35253282793123053,0.6177001198005428,0.07223409389767538,-0.04652824743366314,-0.0454889149846954,0,0.0028168160678887348,0.6627556396405027,0,14.7,-0.09305649486732628,1.5,0.11166779384079153,-0.04652824743366314,0.0,0.0,0.0
0.41500000000000004,2/3 raise_arm_pose,0.457671534523094,-0.35281501276172006,0.617859636457896,0.07128141505434249,-0.04757745927448728,-0.04652824743366314,0,0.0028252729208274956,0.6751248425014598,0,16.1,-0.09515491854897457,1.5,0.11418590225876947,-0.04757745927448728,0.0,0.0,0.0
0.42,2/3 raise_arm_pose,0.4589677534410255,-0.3530994725731412,0.6180238939187328,0.07031929717003399,-0.04863620472845285,-0.04757745927448728,0,0.002865002350055225,0.6875236835379861,0,13.5,-0.0972724094569057,1.5,0.11672689134828683,-0.04863620472845285,0.0,0.0,0.0
0.425,2/3 raise_arm_pose,0.4602762412756493,-0.35338610402052717,0.6181929357156183,0.06934802706761783,-0.04970415011909989,-0.04863620472845285,0,0.002934909815401727,0.6999511254139368,0,14.8,-0.09940830023819978,1.5,0.11928996028583973,-0.04970415011909989,0.0,0.0,0.0
0.43,2/3 raise_arm_pose,0.4615966185971797,-0.3536748068895301,0.6183668041951582,0.0683678820393801,-0.05078097344864456,-0.04970415011909989,0,0.0030339390856028796,0.7124061670999319,0,14.0,-0.10156194689728912,1.5,0.12187433627674692,-0.05078097344864456,0.0,0.0,0.0
0.435,2/3 raise_arm_pose,0.4629292234256051,-0.3539656377492295,0.6185456360569976,0.06737860666557366,-0.05186693845067675,-0.05078097344864456,0,0.0030945190709186264,0.7250027348928839,0,14.4,-0.1037338769013535,1.5,0.12448065228162418,-0.05186693845067675,0.0,0.0,0.0
0.44,2/3 raise_arm_pose,0.46427508834927234,-0.35425880349207084,0.6187296682704865,0.06637942965322441,-0.05296287374495409,-0.05186693845067675,0,0.00305097269952044,0.737856443362237,0,15.2,-0.10592574748990818,1.5,0.12711089698788983,-0.05296287374495409,0.0,0.0,0.0
0.445,2/3 raise_arm_pose,0.4656338008601519,-0.3545541951165084,0.6189189462989438,0.06537065230964384,-0.05406843037124801,-0.05296287374495409,0,0.0030389866437157153,0.7507400627083256,0,15.8,-0.10813686074249602,1.5,0.12976423289099523,-0.05406843037124801,0.0,0.0,0.0
